Name,Number,Type,Street,Quarter,Plan_number
Bartavelles Les,142,Chalet,Accès par Avenue Olympique,L'Illaz,4
Bazel,551,Chalet,Route du Fornet,Le Fornet,15
Bazile,474,Chalet,Rue Nicolas Bazile,Vieux Village,8
Bazile II,476,Chalet,Rue Nicolas Bazile,Vieux Village,8
Beautiful,275,Commerce,Avenue Olympique,Les Lèches,7
Bec de l'Aigle,433,Chalet,Rue du Cachay,Rond-Point des Pistes,9
Becca La,512,Hôtel,Route du Laisinant,Le Laisinant,13
Bel Air,111,Chalet,Chemin du Cacholet,Le Cacholet,3
Belambra,172,Résidence,Route de la Balme,La Balme,5
Bellecôte,6,Résidence,Place du Rosoleil,La Daille,1
Bellevarde a,114,Chalet,Chemin du Cacholet,Le Cacholet,3
Bellevarde 1 (Les Chalets de),151,Résidence,Route de la Balme,La Calabourdanne,7
Bellevarde 1986 Le,146,Résidence,Avenue Olympique,L'Illaz,4
Bellevarde 2 (Les Chalets de),152,Résidence,Route de la Balme,La Calabourdanne,7
Bellevarde 3 (Les Chalets de),153,Résidence,Route de la Balme,La Calabourdanne,7
Bellier Le,204,Hôtel,Rue du Coin,Le Coin,7
Belsol Le,267,Résidence,Rue Noël Machet,Les Lèches,7
Bérénice,284,Commerce,Place Moufflier,Le Thovex,7
Berger,360,Chalet,Rue du Joseray,Le Joseray,10
Bergerie La,239,Chalet,Rue du Parc des Sports,Parc des Sports,6
Bergerie La,405,Chalet,Rue de la Legettaz,La Legettaz,11
Bériat,473,Chalet,Rue Nicolas Bazile,Vieux Village,8
Berraud,290,Bijouterie/Parfumerie,Avenue Prariond,Le Thovex,7
Bivouac Le,481,Chalet,Rue des Leissières,Vieux Village,8
Black Pearl,61,Chalet,Avenue Olympique,Le Crêt,3
Blanche Neige,346,Résidence,Rue des Célibataires,Le Rogoney,8
Blanchettes Les,480,Chalet,Rue des Leissières,Vieux Village,8
Blanchot,97,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5
Bleuets Les,343,Résidence,Rue des Célibataires,Le Rogoney,8
Blizzard Le,277,Hôtel/Restaurant/Spa,Avenue Olympique,Les Lèches,7
Blue Note,265,Bar,Rue du Cocor,Les Lèches,7
Boch,37,Chalet,D902,La Daille,2
Bon Conseil,514,Chalet,Route du Laisinant,Le Laisinant,13
Bonel J. Claude,999,Chalet,Chemin de la Bayettaz,Le Fornet,15
Bonne Neige,37,Chalet,D902,La Daille,2
Bonnevie,366,Chalet,Accès par Rue du Joseray,Le Joseray,10
Bonnevie,541,Chalet,Rue du Fornet,Le Fornet,15
Bonnevie,547,Chalet,Rue du Fornet,Le Fornet,15
Bonnevie Celestin,31,Chalet,Rue de la Daille,La Daille,2
Bonnevie Jean Louis,19,Chalet,Rue des étroits,La Daille,2
Boraso Sport 2000,264,Commerce,Rue du Cocor,Les Lèches,7
Bosset Le,78,Chalet,Chemin du Bosset,Le Bosset,4
Boucherie Cash 2000,505,Commerce,Rue des Barmettes,L'Adroit,12
Boulons Les,369,Résidence,Rue du Joseray,Le Joseray,10
Bouquetiniste,252,Librairie,Rue du Parc des Sports,Les Lèches,7
Bouquetins Les,316,Résidence,Avenue du Prariond,L'Illetaz,8
Bout du Monde Le,662,Restaurant,Vallée du Manchet,Le Manchet,11
Bozzetto,120,Chalet,Avenue Olympique,Le Cacholet,3
Branges Les,654,Chalet,Route du Fornet,Montée du Fornet,14
Brasserie Louis,7,Restaurant,Place du Rosoleil,La Daille,1
Bravo,386,Chalet,Accès par Rue du Joseray,Châtelard,11
Brico Val,265,Commerce,Rue du Cocor,Les Lèches,7
Bruyères Les,493,Résidence,Avenue du Prariond,Les Richardes,12
Bureau de Tabac,290,Commerce,Place Moufflier,Le Thovex,7
Bureau de Tabac,6,Bureau de Tabac,Place du Rosoleil,La Daille,1
Bureau des Guides,145,Ecole de ski,Avenue Olympique,L'Illaz,4
Burger House,146,Restauration,Avenue Olympique,L'Illaz,4
Cabane La,325,Restauration,Front de Neige,Front de Neige,8
Cabinet Médical Delobelle,284,Cabinet Médical,Place Moufflier,Le Thovex,7
Cabinet Medical Griffiths,63,Cabinet Médical,Avenue Olympique,Le Crêt,3
Cabri,243,Chalet,Rue du Parc des Sports,Parc des Sports,6
